L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.1929635,1.343771,0.09185474,0.1592758,0.2792144,-0.007303591,-6.115501,-23.13372,-3.204269,0.9443779
L,-0.190887,1.348737,0.09203411,0.1497485,0.3580897,0.01293522,-0.6870723,5.688229,1.459555,0.9582443
L,-0.1885183,1.34883,0.08893003,0.1657664,0.006506941,-0.2172223,1.120926,-24.60366,-16.10636,0.9725342
L,-0.1861179,1.350367,0.08641636,0.1591829,0.1019242,-0.1666945,-0.4365859,6.327613,3.350763,0.9876137
L,-0.1837066,1.353099,0.08439311,0.1696896,0.1922399,-0.1423846,0.7394001,6.355902,1.710788,1.001823
L,-0.1808519,1.354888,0.08366188,0.1084073,0.06795958,-0.02776872,-2.327216,-4.719593,4.352582,1.028156
L,-0.1775523,1.360421,0.08221798,0.2272645,0.3810595,-0.09945132,8.186467,21.56523,-4.937247,1.042675
L,-0.175417,1.364706,0.08149909,0.1514938,0.3040088,-0.05100167,-5.3756,-5.466409,3.437289,1.05677
L,-0.17353,1.366005,0.07991968,0.1359362,0.09356966,-0.1137766,-1.120727,-15.15948,-4.522144,1.070652
L,-0.1716289,1.367943,0.07856265,0.1301549,0.132688,-0.09290632,-0.3958024,2.678154,1.42884,1.085258
L,-0.1696356,1.370473,0.07731627,0.07672942,0.09738895,-0.04797804,-2.056561,-1.358803,1.729468,1.111237
L,-0.1688483,1.378273,0.07463127,0.05349578,0.5300188,-0.182441,-1.578683,29.3964,-9.136511,1.125954
L,-0.1679184,1.384581,0.07265666,0.06431811,0.4363044,-0.1365781,0.7485509,-6.481969,3.172215,1.140411
L,-0.1686829,1.387718,0.07259238,-0.05307369,0.2178065,-0.004462808,-8.149776,-15.16894,9.171934,1.154816
L,-0.1689787,1.390864,0.07238284,-0.01132733,0.1204536,-0.008023618,1.598533,-3.727798,-0.1363489,1.180931
L,-0.1673427,1.395658,0.06883281,0.112827,0.3306449,-0.2448348,8.562567,14.49629,-16.33219,1.195431
L,-0.1653641,1.398069,0.06539252,0.1353226,0.1648513,-0.2352861,1.538502,-11.33885,0.653051,1.210052
L,-0.1655079,1.402443,0.06448995,-0.005481241,0.1666652,-0.03439033,-5.364953,0.06911223,7.654595,1.236298
L,-0.1651646,1.410543,0.06257016,0.02378858,0.5613188,-0.1330319,2.02826,27.34763,-6.835395,1.250729
L,-0.1647461,1.41514,0.06144692,0.02868464,0.315049,-0.07698044,0.3355487,-16.87794,3.841453,1.26532
L,-0.1631072,1.416231,0.0608911,0.06205707,0.04130254,-0.0210468,1.263669,-10.36559,2.117965,1.291729
L,-0.1599045,1.414489,0.05876557,0.2112648,-0.1149189,-0.1402097,9.842455,-10.30511,-7.860554,1.306889
L,-0.1583,1.413039,0.05774477,0.1059262,-0.09571739,-0.06738748,-6.953889,1.267577,4.80733,1.322037
L,-0.1569426,1.412203,0.05679969,0.0535569,-0.032995,-0.03728899,-2.066269,2.474759,1.187559,1.347382
L,-0.157036,1.412301,0.05739323,-0.00640719,0.006761839,0.04071004,-4.112827,2.726849,5.349811,1.361961
L,-0.1570729,1.412538,0.05785275,-0.002618626,0.01683539,0.03262729,0.2690003,0.7152547,-0.5739011,1.376045
L,-0.1568389,1.413905,0.05905601,0.01669247,0.09750102,0.08585404,1.377868,5.755583,3.797788,1.39006
L,-0.1564877,1.41571,0.06038836,0.02395793,0.1231216,0.0908841,0.4956015,1.747665,0.3431173,1.40472
L,-0.1560785,1.417633,0.06159211,0.01579876,0.07426535,0.04648043,-0.3150502,-1.886488,-1.714561,1.430618
L,-0.1569079,1.419113,0.06421128,-0.05417841,0.09667798,0.1710936,-4.571168,1.464076,8.140193,1.445927
L,-0.1574272,1.419518,0.06484109,-0.01917849,0.01495139,0.02326029,1.292621,-3.018334,-5.459794,1.473003
L,-0.1598314,1.420356,0.06573886,-0.1617685,0.05642005,0.06040651,-9.594227,2.790236,2.499398,1.487865
L,-0.1622975,1.421012,0.06626175,-0.0923906,0.02456857,0.01959043,2.599256,-1.193322,-1.529183,1.514557
L,-0.1669607,1.417127,0.06188677,-0.3328151,-0.2772852,-0.312245,-17.15922,-21.54347,-23.68328,1.528568
L,-0.1692739,1.415387,0.05975004,-0.161063,-0.1211819,-0.1487729,11.9585,10.86894,11.382,1.542931
L,-0.1800377,1.418313,0.06093755,-0.7730565,0.2101455,0.08528682,-43.95354,23.79603,16.81023,1.556854
