L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.2215791,1.439107,-0.03632784,0.01209255,-0.007326864,-0.006341485,0.1946298,0.7874915,-0.1250406,0.743042
L,-0.2214345,1.437716,-0.03656807,0.01078917,-0.1037753,-0.01792644,-0.09725984,-7.197088,-0.8644824,0.756443
L,-0.2210525,1.436196,-0.0369629,0.02685665,-0.1068819,-0.02775569,1.129524,-0.2183907,-0.690984,0.770668
L,-0.2205086,1.434981,-0.03741882,0.04043955,-0.09033785,-0.0338958,1.009834,1.229982,-0.4564926,0.7841187
L,-0.2207863,1.434906,-0.03731532,-0.02007728,-0.005445272,0.007480517,-4.373897,6.135671,2.990503,0.7979546
L,-0.2209662,1.434897,-0.03725175,-0.01295321,-0.0006097142,0.004579297,0.5131998,0.3483409,-0.2089963,0.8118362
L,-0.2216638,1.43462,-0.03692835,-0.04946895,-0.01965276,0.02293113,-2.58923,-1.350289,1.301277,0.8259392
L,-0.2224656,1.43435,-0.03655678,-0.05779145,-0.01949581,0.02678176,-0.5998604,0.01131263,0.2775424,0.8398132
L,-0.2231658,1.434162,-0.03623269,-0.0500842,-0.01339529,0.02318117,0.5512713,0.4363474,-0.2575374,0.8537941
L,-0.2237184,1.434058,-0.03597737,-0.0405212,-0.007631119,0.01872132,0.7012262,0.4226696,-0.3270274,0.8674316
L,-0.2267154,1.433447,-0.03523631,-0.2101153,-0.04283398,0.05195631,-11.89037,-2.468098,2.330129,0.8816948
L,-0.2319808,1.433066,-0.03473567,-0.3833148,-0.02773535,0.0364455,-12.6085,1.099143,-1.129149,0.8954315
L,-0.2360779,1.432869,-0.03438103,-0.2931276,-0.01409832,0.02537303,6.452518,0.9756729,-0.7921889,0.9094086
L,-0.2390954,1.432805,-0.03414832,-0.2209563,-0.004678771,0.0170402,5.284716,0.6897426,-0.6101685,0.9230652
L,-0.2413638,1.432217,-0.03535815,-0.157981,-0.04096374,-0.08425861,4.385913,-2.527068,-7.054962,0.9374237
L,-0.2432764,1.431807,-0.03630653,-0.1335973,-0.02865208,-0.06624362,1.703185,0.8599593,1.258332,0.9517403
L,-0.247375,1.431427,-0.03758518,-0.3220631,-0.02981677,-0.100477,-14.8097,-0.091522,-2.690074,0.9644661
L,-0.25096,1.431147,-0.03867486,-0.2500114,-0.01952813,-0.07599184,5.024714,0.717506,1.707541,0.9788055
L,-0.2594393,1.432446,-0.03844524,-0.5997812,0.09181901,0.0162424,-24.74097,7.876143,6.524191,0.9929428
L,-0.2660256,1.433429,-0.03836107,-0.4670172,0.06972715,0.005968733,9.413925,-1.566473,-0.7284772,1.007046
L,-0.2714801,1.434204,-0.03837444,-0.4065565,0.05778185,-0.00099711,4.506508,-0.8903579,-0.5192078,1.020462
L,-0.2766404,1.433078,-0.03972897,-0.3660038,-0.0798752,-0.09607145,2.876262,-9.763519,-6.743281,1.034561
L,-0.2810125,1.432374,-0.04073068,-0.3158218,-0.0508749,-0.07235981,3.624942,2.094862,1.712831,1.048405
L,-0.2855692,1.43281,-0.04146258,-0.3250361,0.03112245,-0.0522077,-0.6572768,5.84901,1.437484,1.062424
L,-0.2897702,1.433168,-0.04209945,-0.2908057,0.024764,-0.04408508,2.3695,-0.4401454,0.5622646,1.07687
L,-0.2937586,1.433471,-0.04267925,-0.2849614,0.02169358,-0.04142632,0.4175674,-0.219376,0.1899639,1.090866
L,-0.2984795,1.430875,-0.04551487,-0.3407364,-0.1874226,-0.2046638,-4.02563,-15.09321,-11.78186,1.104721
L,-0.3030354,1.428928,-0.04780902,-0.3508533,-0.1498972,-0.1766738,-0.7791087,2.889852,2.155528,1.117706
L,-0.3077317,1.429577,-0.05067507,-0.3303197,0.04565502,-0.201588,1.444262,13.75445,-1.752378,1.131924
L,-0.3121392,1.429999,-0.05299379,-0.3274961,0.03133858,-0.1722897,0.2098037,-1.063767,2.176978,1.145382
L,-0.3171473,1.429186,-0.05607606,-0.3462182,-0.05617913,-0.2130799,-1.294273,-6.050169,-2.819863,1.159847
L,-0.3218322,1.428552,-0.05864393,-0.3376688,-0.04569357,-0.1850842,0.6162123,0.7557678,2.017844,1.173721
L,-0.3262592,1.428043,-0.06086276,-0.3322381,-0.03826403,-0.16652,0.4075651,0.5575747,1.393217,1.187046
L,-0.3306567,1.427658,-0.0627244,-0.3072486,-0.02684402,-0.1300689,1.745963,0.7978911,2.546756,1.201359
L,-0.3349577,1.427304,-0.06450911,-0.3002559,-0.02471704,-0.1245938,0.4881762,0.1484882,0.3822305,1.215683
L,-0.3412891,1.427648,-0.06470308,-0.4515098,0.02453414,-0.01383233,-10.78626,3.512215,7.898653,1.229706
L,-0.347128,1.427833,-0.06527589,-0.4320138,0.01369778,-0.04238166,1.442492,-0.8017741,-2.112344,1.243221
L,-0.3525133,1.427909,-0.06608052,-0.3828951,0.005390562,-0.05720903,3.492317,-0.5906397,-1.054219,1.257286
L,-0.3611578,1.426948,-0.06777132,-0.6301707,-0.07008655,-0.1232576,-18.02608,-5.502189,-4.814861,1.271004
L,-0.368669,1.426204,-0.06935978,-0.5559072,-0.05506247,-0.1175619,5.49625,1.111935,0.4215397,1.284515
L,-0.3780749,1.424016,-0.07312174,-0.6687517,-0.1555719,-0.2674738,-8.02319,-7.146177,-10.65866,1.29858
L,-0.3863355,1.422336,-0.07624054,-0.5491952,-0.1116853,-0.2073483,7.948524,2.917734,3.997346,1.313622
L,-0.3961761,1.419129,-0.08148232,-0.7728173,-0.2518349,-0.4116541,-17.56177,-11.00641,-16.04481,1.326355
L,-0.4049851,1.416606,-0.08580536,-0.6204221,-0.1777102,-0.3044755,10.73334,5.220673,7.548695,1.340553
L,-0.413152,1.414513,-0.0895564,-0.582881,-0.149401,-0.2677137,2.679328,2.020443,2.623707,1.354565
L,-0.4229801,1.410625,-0.09463146,-0.7122961,-0.2817857,-0.3678182,-9.379432,-9.594646,-7.255126,1.368362
L,-0.4319832,1.407461,-0.09902715,-0.6090605,-0.2140242,-0.2973684,6.983899,4.584069,4.765932,1.383144
L,-0.4442707,1.405837,-0.1004311,-0.8910313,-0.1177818,-0.1018099,-20.44729,6.979076,14.18105,1.396935
L,-0.4551847,1.404205,-0.102258,-0.8382815,-0.1253388,-0.1403206,4.051581,-0.5804318,-2.957903,1.409954
L,-0.4653002,1.402566,-0.1043525,-0.7478012,-0.1211665,-0.1548367,6.688901,0.3084461,-1.073127,1.423481
L,-0.4736372,1.399962,-0.106061,-0.5851427,-0.1827309,-0.1199104,11.41632,-4.320952,2.451329,1.437729
L,-0.4820422,1.397617,-0.108022,-0.604805,-0.1687998,-0.141114,-1.414867,1.002463,-1.525773,1.451626
L,-0.4926426,1.395924,-0.1117423,-0.760908,-0.1214916,-0.2670417,-11.20522,3.395821,-9.039213,1.465557
L,-0.5026271,1.394202,-0.1151302,-0.6985297,-0.1204547,-0.2370235,4.364054,0.07254606,2.100107,1.479851
L,-0.506745,1.386505,-0.1208716,-0.2998524,-0.5604948,-0.4180767,29.03079,-32.04274,-13.1839,1.493584
L,-0.5121558,1.380399,-0.1257983,-0.4028463,-0.4546205,-0.3668042,-7.668056,7.882509,3.817322,1.507015
L,-0.5183331,1.375254,-0.1302264,-0.4393228,-0.36592,-0.3149215,-2.594163,6.308271,3.689834,1.521076
L,-0.5219003,1.367746,-0.1325849,-0.2347162,-0.4939916,-0.1551862,13.46295,-8.427005,10.51046,1.536274
L,-0.5102299,1.373107,-0.1273469,0.9053899,0.415896,0.4063691,88.44983,70.58939,43.56565,1.549164
L,-0.5247627,1.366237,-0.1339367,-1.073752,-0.5075747,-0.4868863,-146.2289,-68.23063,-65.99818,1.562698
L,-0.5365317,1.360614,-0.1393397,-0.7798755,-0.3725986,-0.3580331,19.4737,8.944179,8.538448,1.577789
L,-0.546668,1.355799,-0.1439703,-0.7607089,-0.3613656,-0.3475142,1.438421,0.8430187,0.7894248,1.591114
L,-0.5456541,1.337736,-0.1543502,0.07714985,-1.374456,-0.7898505,63.75607,-77.09013,-33.65916,1.604256
L,-0.5467771,1.324147,-0.1626435,-0.07860481,-0.9512517,-0.5805168,-10.90258,29.6236,14.65303,1.618542
L,-0.5523393,1.317201,-0.1638056,-0.4002496,-0.4997941,-0.08362785,-23.14501,32.48611,35.75527,1.632439
L,-0.5578836,1.310533,-0.1658138,-0.410915,-0.4942218,-0.1488318,-0.7904584,0.4129912,-4.832575,1.645931
L,-0.5634158,1.304121,-0.1683356,-0.3930174,-0.4555217,-0.1791518,1.271471,2.749325,-2.153991,1.660007
